,labels,content
159,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","How do I know if I have bipolar disorder? + I feel that I am struggling with undiagnosed bipolar disorder, and it is making my day-to-day life extremely difficult."
160,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",How do I see a therapist without having healthcare? + I need to speak to someone about sexual addiction and binge eating immediately.
161,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",My wife outed me to her sister + What should I do when we see each other?
162,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How do I get over a slump? + I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But lately I've been staying up way later and sleeping too much. I don't hang out with friends, I don't really have them. I feel nothing, worthless. I want to do nothing, I have no interest in anything.  All I usually do is stay in my room. I want to be happy, I want to be nice. What's wrong with me?"
163,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","My wife is cheating and won’t tell me the truth + I found out today that my wife is cheating on me. I love her, but she won’t tell the truth even when I have proof. When I beg her to tell the truth, she yells, cusses, and gets a huge attitude."
164,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","My brother is an addict. He has does nothing but ruin my family. I don't know how to cope with it anymore + My brother has been a heroin addict for years, and he’s now in his mid-30s. He has taken from me my mom and my grandparents. He's sick in the head. Now he moved his girlfriend into the house because they both manipulated us. Today, my mom and my brother went toe-to-toe over his girlfriend not helping around the house and always being high. I ended up hitting my brother for getting so close to my mom's face. I feel terrible, but he's always picking his girlfriend over us. Mind you, he tells other girls that he hates his girlfriend, he's single, and she's only living here because he feels bad. We tried kicking them out and everything, but nothing is working. They do nothing to try and help."
165,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Why do I feel like I’m watching my life from a window? + I never feel like myself. I can’t even think straight anymore. I start stuttering and I can’t remember anything. I always get nervous and usually talk myself down but recently end up fighting with, what feels like, someone else. I don’t know why I feel this way, but I hate it."
166,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Is it acceptable for me to find another home for my boyfriend's dog? + My boyfriend moved in with me a few months ago. I love him, but his dog is wrecking my house. Every day we get home, there is a huge mess on the floor, and several things will be ripped up (including the couch). He's slowly eating all of the doors, and there will be food and poop everywhere. Even though I come home during all of my breaks to take him out, he still poops and pees in the house every chance. I can't financially afford to have the dog wrecking my house. I've tried talking to my boyfriend about the dog to try and come up with a solution, but it never ends well. The dog is the only thing we fight about because I want him out of the house and my boyfriend doesn't want to see him go. It’s not the dog fault though; I understand that. The dog is only a year old, and he isn't a bad dog. He's just too big of a dog for where he is; he should be a farm dog instead of a town dog. I don't hate the dog, but I just can't afford to continue having my house torn to pieces."
167,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",Any suggestions for erection problems? + I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggestions? My Doc doesn't want to discuss it.
168,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How do I help my partner overcome depression over not having his kids by his side all the time? + My partner seems to always get depressed over the fact that his kids have to see and go through the divorce process. It’s especially when the mother of his kids keeps making him feel bad and using the kids as an excuse to get back at him. I feel like just telling him to go back with his family and forget about me.
169,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","What can I do about my partner's parents not liking me? + I’m in my early 20s. My ex’s parents are friends with them and have told them bad things about me. I left my ex due to an abusive situation, and they are making me look like I was the bad one."
170,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",I am 18 years old with a baby on the way + Me and the father of my child have been dating for a year. We had a big argument and at first he wanted to work it out. But with time he started asking others and they told him to leave me.Now he wants me to wait on him to mature. He wants to talk to other people. Then come back in four years. He doesn't want to deal with me while I'm pregnant. He doesn't take me to the doctor or anything. I feel alone. How do I handle this situation?
171,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","How can I stop letting things that happened in my past ruin my current relationship? + Today, my boyfriend broke up with me because he says I stress him out with me not trusting him and always accusing him of things. It hit me that I still hold on to every bad thing my mother has ever said to me and everything that anyone has ever done to me. I act as if he's going to do it too."
172,"[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","Relationships cause me anxiety and nausea + I am in high school and have been facing anxiety issues lately. Whenever I get close to being in a relationship, some kind of anxiety takes over and keeps me from the relationship. This anxiety causes me depression at times and even makes me want to vomit. While a semi-relationship should be joyous, for me, it’s an emotional nightmare I can’t get to the bottom of. I’ve had this before and had to leave the semi-relationship to avoid throwing up every time I made contact with my crush. What could be the reason behind this? Is it massive nerve problems? Is it a fear of a bad relationship?
 While I’m not quite ready to be in one anyway, I want to get to the bottom of this for a brighter future in which I can be in one. I don’t take medications and have no desire to, I have read forums, and I’ve talked about the issue with my sister who has faced similar problems."
173,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","Why do I feel like I can never meet people's expectations? + I feel like every time I do something someone asks me to, I never fully meet what they want. I feel that when I finish it, they always think that they should have picked someone else to do it. I feel like they just want nothing to do with me."
174,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","My parents are threatening to send me away if I don't play basketball for a team I hate + I'm applying to private high schools. I'm playing basketball on my school team currently, and I love it. I also play on a team that I've hated since the beginning, and I finally want to quit before the season gets started. However, my parents say I can play on either both teams or neither. I think it's unfair because it's up to me if I want to play for a certain team. I was planning on playing basketball for the high school I get into, but if that means continuing to play for the team I hate, then I wouldn't want to play in high school. Now I don't know what to do! My parents are threatening to send me off to a different home if I don't play. I just want to run away."
175,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I deal with my posttraumatic stress disorder? + I feel angry, anxious, and depressed. The PTSD I suffer is from a past relationship."
176,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","How do I get over jealousy? + I’m in a relationship with my child's father. I’m a really jealous person. We don’t go out or do anything with other people because of me. To keep our relationship going, I know I have to stop being jealous, but I can’t. How can I get over these issues?"
177,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Why doesn't any guy want to date me? + I have high functioning autism and I have been on a lot of dating sites like meet me, match, and zoosk. I haven't had any luck on any of the dating sites I have been on.
  I really want a boyfriend but I don't know what I should do. I just want to be in a relationship. How can I meet someone?"
178,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",What are some physical signs of psychosis? + I just need to know if I'm really crazy or not.
179,"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","How do I get my husband to listen to me? + I'm always listening to my husband, but it feels like he never listens to me.  How do I get my husband to listen to me instead of me listening to him all the time?"
180,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","Should I be upset that my husband may have lied to me again? + I’m trying to make marriage work after a split. Before our split, he lied a lot and broke every promise to me. I don't think he cheated. Last month, I asked what women work with him, so he told me. Yesterday, I found out about a girl that he said he forgot about. Should I be upset?"
181,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","Why do I feel so lonely these days? + I have no idea what happened. I go places and do things but still feel lonely. I honestly have no friends, and I am always the one texting people and bothering people. I feel invisible, like someone that no one wants to be around."
182,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","My husband is harsh towards our son and threatened me + Tonight, my husband seemed to put our son down through an incorrect approach. His approach was perfectly wrong. I found myself defending my son. I told him that what he did was not the way to encourage our son.
Instead of watching my husband’s harsh behavior I decided to sit beside my son and, together, we worked on his science assignment in order to encourage him to study. My husband got upset and he was swearing at me. He threatened me. I knew that he was not joking. His words scared me a lot!"
183,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","I am bipolar and have been absolutely angry for over the last year at my daughter + She was raised by her abusive father and his wife. 30 years ago I shot and killed my rapist and was convicted in Louisiana. I lost custody of my daughter and served 5 years. When I was released, she was 5 and didn't remember me. Many many sad memories came from my having to leave her visit after visit, having to leave her in Texas to travel back to Louisiana. She doesn't remember that. I do.Over the years, I thought we had developed a close mother daughter relationship. She gave me good reason to doubt that on several occasions but especially last year. I have been cruel to her verbally and to my son who I met years after giving him up for adoption. Last night, I was angry at the world and afraid of God. I drank and cussed out a maintenance worker for not doing his job 4 months running. Now I'm not only feeling guilty for that but afraid of being evicted now. Help."
184,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","How can my marriage be fixed? + I've only been married three months. Every week, we argue about something, and it seems to be getting worse."
185,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","Why am I so sad? + I have friends, family, I live in a good home, I go to a nice high school, and I get pretty good grades, but I don’t know why I'm so unhappy. These friends are my best friends and they’re all amazing people, and yet I'm sad all the time and feel alone."
186,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","My toddler wants her daddy to die when she's mad at him + I told her that if daddy dies, we will never see him again. She started crying because I wouldn't make her daddy die."
187,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Should I get back together with my ex-boyfriend who has trust issues? + My ex-boyfriend and I met over a year ago. We hit it off and fell in love pretty quick. However, he has trust issues and assumed I was cheating. When I found out I was pregnant, we had just broken up. Five months later, I lost the baby, and we did not speak for a few weeks. Now we are talking, and he says he loves me but is afraid I will hurt him ""again."" I just want to know where to go with this because I love him so much, and I want to get back to us being happy and a family."
188,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I deal with my paranoia? + I'm a little paranoid. My mind does get the best of me. One night, I put chairs under all of my door knobs because I thought someone might break in. I also think a lot, which is probably the reason for the paranoia. I can't stand loud noises, like the sound of cars going by. The grocery store is too noisy, and I feel like people are looking at me."
189,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","Should I leave my boyfriend? + My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laughs. He and her mom have been apart for three years, and he blames her behavior on that and her being so young. We never have adult time when she’s not here. She’s the ""golden child,"" and he won’t listen to anyone."
190,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","How can I take care of my depression from a breakup? + I have been falling into a deep depression where I can no function during the day and night. The only time I am at peace is when I’m asleep. If I am with friends, family, at work, and mainly alone, I cannot think straight. I no longer feel like myself."
191,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","I need help coping with depression as a result of stress + My depression has been reoccurring for a long time. It all started when I was being bullied in high school. In ninth grade, my principal told me I needed to stay home for a couple days to protect myself while she spoke to my classmates. I needed professional help for my stress because I was having crying spells from the stress of going to school and confronting my classmates. After that, I was fine for a couple of years. I entered my first year of college in a really tough program with high demands of expected work. I believe my depression re-booted from there with the stress. I began to cut myself because a friend of mine at the time told me how she used to do the same and it used to feel good for her. Obviously, that wasn't the right choice. I regret ever doing that, seeing as even though I'm not self-harming anymore, I always look back at that time whenever I feel very stressed. I have a big problem with handling problems in life. Whenever a problem arises, I get stressed and I feel hopeless, as if it's not going to get better. I get way too stressed from my problems, which leads to overreacting a lot (especially when talking to others), which then leads to depression. I have a hard time coping with stress because I know that if I could handle it easily then I wouldn't be sad all the time, and I would say and do the right thing instead of overreacting to my loved ones."
192,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","How do I handle all of my stress? + I work two jobs and go to school for criminal justice. Over the summer, my father had a stroke. It was very devastating. My father isn't the same, and my family fights every day. I have been kicked out the house many times. I break down a lot."
193,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How can I get over social anxiety? + I have not had a friend since I was 19. I don't go anywhere, and I have no job, all because I'm afraid of people."
194,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",How do I move on? + I'm obsessing about a terrible breakup. Everything is a constant reminder. How do I move on?
195,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0]","Can a person be mean towards another person if that person was treated poorly before? + I keep being mean to my best friend, and I don't know why all the time. I did come to maybe some kind of conclusion that it is because my mother is mean to me all the time. Could that be a cause?"
196,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","I feel insecure, on edge, and drink too much + I feel insecure in my life. I don't think my wife truly wants our relationship even though she says she does. I have turned to drinking to help relieve my repressed stress about this and other issues. I have had a drinking problem for a few years. I feel the reason I drink is not just because I like to, but because I have lately been on edge. I’ve been very oddly emotional when watching movies that I have been watching for years. I’m paranoid about driving on main roads. I’m very jumpy at the slightest noises."
197,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","How can I get rid of my laziness? + I am lazy. I am very aware of the problem and try to talk myself out of it all the time, but I never seem to shake the habits. I try to think of what it is doing to me and my future, but no matter what, I keep creating excuses for myself to continue the procrastination. All I'm ever left with is regrets and a low grade. I am at an all-time low in my life, and I'm not even that old. I've always been a straight-A student, but now I'm getting C's and F's, and it hurts me to know that I am way better than that. It's not even like the work is hard."
198,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",Should I end it? + How do I decide if I should end my relationship with my boyfriend?
199,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",How can I take my emotional support animal to school? + I have severe anxiety and have tried everything. Everything makes it worst.The only thing that helps is my emotional support animal.
200,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","How do I get my guy to fall back in love with me? + I broke up with him three weeks ago because I felt that he needed to be more respectful. He has since had a rebound relationship. He says he loves and misses me but refuses to see me. He says it's going to be too difficult to see me. Every time we talk, it feels like I'm being pushy to see him. He used to be so madly in love with me, but now, it seems like he couldn’t care less. I think I'm running him away."
201,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Me and my girlfriend of 7 years are looking for some free couples counseling in Modesto, CA + We have been fighting a lot and have 3 kids but we both want to stay together. I need some help to save our family."
202,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",People make me sick + I have several issues like I don't like people. They make me sick. I have issues with talking to people. I feel like they are talking about me and making fun of me. I have felt this way for years. When I look people in the eyes I have voices that tell me to hurt them and if I don't stop looking at who I am talking to it gets so loud I can't hear what they are saying. I just stay away from people to avoid this. I look at people and think how I could hurt them. I feel like I am worthless and would be better off not in this world where I don't fit in. Every day I wake up it's like another day. Any info would be good.
203,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]","My husband said he loves me but is not in love with me + My husband and I are in our 40s. We’ve been married 17 years. Three weeks ago, he said he loves me but is not in love with me. He was going to leave me, but he said he thought about it and decided to stay. I don't know how to feel any more. How should I take what he said and not feel so hurt? He has been very blunt, and hurtful words just come out of his mouth. He makes me feel like I'm nothing, but I so dearly love him with everything in me. He said it wasn’t a mid-life crisis."
204,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","I don't believe in myself anymore + I was married to a narcissist sociopath for 10 years. During that time I was a general manager. I used to help him financially and in other ways when we were together. But things began to change. He emotionally and sexually drained me. I lost my spirit. I used to be a very happy person but now I am a loner. I left him and moved to another state. Currently, I'm working as a server which makes me believe less in myself. I feel pity for myself a lot but don't know what to do. When I have money problems, he does not help me. He actually enjoys seeing me have a hard time in my life. I need help."
205,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]","I lied to my mom, then felt bad and told her the truth + She cried because she lost all trust in me. Now I feel disgusting and like my heart just got stabbed, what do I do?"
206,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I tell If I have depression? + I don't know if I have depression, but I have been very sad. There are nights that I don't sleep. I don't eat all day sometimes, I don't have energy to anything anymore."
207,"[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0]","My wife doesn't want to have sex + My wife and I have a great relationship except for our sex lives. We are pretty transparent and honest, and basically, she feels bad because she never wants to have sex. She doesn't have the desire. She's also never orgasmed. She feels like a terrible wife and fears I'll cheat on her. She doesn't know why. Last time we had sex, she cried and felt bad and didn't know why she cried. However, she also told me that the last time we had sex, she felt me in her, but it just felt ""ehh"" and wanted to stop. That makes me feel really awful. We rarely have foreplay. Everything I try tickles her, so she makes me stop. We are both frustrated but very much in love. She and I are in our early 20s. We’re married and we have a baby on the way."
208,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0]","How do I discipline a child with autism? + I am a counselor at day camp where we have a child with severe autism. We try to keep him entertained by carrying cards around for when he starts acting up so we can get him to focus on something else. The day camp administrator has told us not to yell at him because he will zone out and not listen, so we just talk in a calm voice. However, other kids see the treatment as unfair."
209,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","What can I do when my family doesn't accept my sexuality? + I'm a teenage gay girl, and I'm in love with a girl a few years older than me. She loves me too, but we're not physically together at the moment. I've been thinking about being transgender soon too, but my family doesn't accept me, so I honestly don't know what to do about that because I feel like I have to constantly hide the real me. It hurts so much to hide the real me. What can I do?"
210,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Am I somehow stressing myself out? + I think I'm annoying and bothersome, but my girlfriend says I'm just fine. I don't think so, I think I'm stressing everyone else out"
211,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","Is there anything I can do about my depression and anxiety? + I have been dealing with depression and anxiety for a number of years. I have been on medication, but lately my depression has felt worse. Can counseling help?"
212,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","How can I stop myself from making poor choices and hurting the one I love? + I've been in a relationship for over a year. He's cheated and lied. I heard he's married, but he says he's not. Everything is very up and down; there's no trust. Recently, he went on a trip, and I promised him I'd behave and not drink because when I drink, I drink too much, and I tend to make poor choices. This time, I made a huge mistake: I drank too much, and I cheated on him. I slept with another man for about five minutes before realizing what I was doing is wrong. I told him and he just got really rude. He called me names and threatened me. I feel bad as I do love him. We just have so many issues. I'm not a bad person, I've just made a lot of bad mistakes. It’s unintentional, and I know right from wrong, but why do I still make the wrong choice?"
213,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",How do I deal with depression? + I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where to turn.
214,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","Is my depression sabotaging my job search? + I keep feeling paralyzed and unsure during interviews. Previous jobs have fired me for lack of performance, and five employers have rejected me after extensive personality tests and interviews. I'm afraid of continuing because my depression is getting worse. I'm already humiliated working for temp agencies and doubt my self-worth as a provider for my family."
215,"[0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","I'm depressed because my mother kicked me out after having a child + I just had a newborn. When I brought him home, my mom told me to leave. Now I'm in a women's home. I don't see my boyfriend that often because he works. The women's place is helping me find an apartment so I can go back to work and get child care."
216,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",All I can do is cry and hate myself + I'm going through a majorly bad divorce and my wife is making things so impossible for me. I need help.
217,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can someone like me be happy? + I have been diagnosed with ADHD and experienced manic depression episodes. I have problems with anger management. Apparently, I also have an ODD, bipolar and split personality. How can I be truly happy?"
218,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Why do I want to be the opposite sex so much? + I got sick really bad and was throwing up for three days and nights. I thought I was going to die. Then about a week later, I started having this desire to be female. I never had this desire before. All I can think about is being a woman. I don't get pleasure from my penis anymore either. Women are attractive, but not like before. I can also find men attractive now. I'm too ashamed to tell anyone."
219,"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","Is it okay for my girlfriend to have sex with other men since I can’t sexually perform? + I am currently suffering from erectile dysfunction and have tried Viagra, Cialis, etc. Nothing seemed to work. My girlfriend of 3 years is very sexually frustrated. I told her that it is okay for her to have sex with other men. Is that really okay?"
220,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","I've been feeling sadness + When I get around a particular person or when I go home, I'm just sad or irritated. The feeling comes and goes all day every day. I don't know what wrong. I'm not sure if I'm just making up symptoms and problems in my head or if there is something actually wrong."
221,"[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0]",How do I get my wife to forgive me? + I didn't trust my wife when I found out that she had a new guy friend that she was texting and calling. I investigated him before I found out that he was gay and that there was nothing going on. Now all my wife and I do is fight about trust.
222,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","I'm going through depression right now and my relationship is suffering + I've been married for 3 years and I have two kids. During my 3-years married, my husband cheated on me twice. The second time really got to me and at my lowest I hurt him back. We aren't communicating as well as I would like. What do I do?"
223,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","What can I do about my dad? + My dad makes me feel like shit and like I'm worthless. He calls me names and makes me feel depressed. I want to move out because I swear if I stay here, I'm going to lose it. What can I do?"
224,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","How can I make the dreams and voices go away? + For the past four weeks, I've been having nightmares and hearing voices telling me of horrible things. They're not random voices, but rather, the voices of those I care about."
225,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]","Why is my ex-boyfriend upset with me? + I went to my ex-boyfriend to reach out to one of his high school friends who's attempted to commit suicide. When I went to him to reach out to his high school friend, he told me that I put him in a terrible position and put an enormous load on his shoulders. He was very angry that I went to him to do that. Am I in the wrong for going to him to reach out? He helped me so much with my depression and bad habits, so that's why I thought of him to reach out. He made me feel awful for thinking highly of him to help. Why did he react this way towards me? I think he's being selfish."
226,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","How do I get my dad to understand that I don't want him to date or marry my best friend? + I have known her for years. She was dating my brother-in-law when we met. My kids think of her as their aunt. On Halloween 2014, I lost my mom to cancer. My mom and dad were still married when she passed away. My friend was there for me through that and my own cancer diagnosis. She has been a very big part of both me and my kids’ life, but now last month, my dad told me that he really likes my friend and wants to marry her. She’s like a sister to me. My kids hate the idea."
227,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I resist the urge to cut? + I stopped for a while, but I’ve started doing it again. It’s like an addiction. The more I try to stop, the more I want to do it. I’ve tried doing some of the stuff they say to do like draw, but it doesn’t work."
228,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","What's going on with these mood swings? + I'm a teenager and I get these really intense mood swings.  My mood will be really high and I'll think of something that I want to do. When I start to make it happen I get irritated by other people if they intervene. Then if the thing I wanted to do doesn't work out, I have these tendencies to blame other people for it not working out.  Can you explain what's going on?"
229,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","Why can't my mom ever be proud of me? + She constantly tells me what I am doing wrong. For once, I want her to be proud of me. It’s like no matter what I do, she does not have one nice word to say to me. She is always hateful towards me and always has been."
230,"[1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]","How can I deal with my best friend, whom I have a crush on, having a crush on someone else? + I've known my best friend for eight years, and I've slowly begun to form a crush on him. I sort of thought he liked me back until he told me about his actual crush. I have really bad anxiety over this."
231,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","When should I give up on a relationship? + I’ve known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he even asked me to move in with him since I lived out of state. I planned to move in with him in 2014 after I finished school and he found a job. However, during this time we had a few arguments and broke up with each other for a short period of time. We decided later to make it work. Shortly after, I found out that I was pregnant. I wanted to tell him during his next visit. However, he never came to see me and instead asked me for money. After I gave him money, he quit answering my phone calls and texts.  Soon after, I experienced a miscarriage. I texted him about what had happened, and he didn’t seem to care. I was extremely hurt by this. I still decided to move back as I had originally planned. He helped me with the move and replaced the money I had lent him. During this time, I asked if he wanted to be in this relationship because I needed to know. Although he says he did, I hardly ever see him. He never got a job, which was in the original plan.  After that, we both started seeing other people for a short amount of time but once again got back together. Once we got back together, I cut all ties with the former relationship I had been in. I thought he had too. But I found out that he did not attempt to do as I did and was still talking with another woman. In fact, he had even sent inappropriate pictures to her. When I confronted him about this, he wasn’t apologetic. He said that he only did it to get even with me and was actually mad at me for looking through his phone. He even closed his car window on my finger and tried to throw me out of his car. I don’t know what to do."
232,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I get back to being the person I truly am? + I feel like I am not at a good state of mind. I'm very unsettled in my soul. I'm not happy with myself or the decisions I make, which makes me not happy with anyone else. I feel like a failure most of my days. I don't feel like I'm good at anything anymore. I feel like less of a person."
233,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0]","I was duped into getting married to a therapist, but once her immigration status was secure, she bolted + How do I ever trust another woman? I have found myself constantly reading between the lines with every other woman that I meet. I am having a difficult time making any sort of connection to anyone because of her deception and willingness to say and do literally anything in order to control my emotions.
Once the ""relationship"" was over, she became extremely abusive and has attempted to intimidate me into silence regarding the many false claims made on her immigration application."
234,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","My brother never hangs out with me anymore + I am a teenager, and my brother is a few years older. He has a girlfriend who is always with him. He never hangs out with me anymore. We were really close, and it is making me really sad."
235,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","My best friend says she loves me but is talking to a random guy + I have been with my best friend for over a year, and we have had a beautiful baby girl. We were in love, and I still love her dearly. I am in my late teens and so is she. She says she has lost her connection with me. She is talking to a random guy that she says is just someone to talk to. But she says she still loves me. I'm very hurt and confused."
236,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","What can I do about my boyfriend's verbal abuse? + I try to do everything right just so we won't argue, and it doesn't help the only time he is calm is when he is drinking alcohol. I get anxiety over having fights with him."
237,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","I feel like my friends are ganging up on me + In this argument my friends are all against me so I'm wondering if I'm exaggerating my feelings. I feel like I'm being attacked and that is making me blow things out of proportion and taking the role of the victim, when in reality I'm the one being unreasonable and I am simply annoying my reasonable friends. Or are they really being insensitive and not respecting me in our friendship?"
238,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","Sleeping, Anger and Anxiety + I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if so what should I do?"
239,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","How can I feel so empty even though I'm only in my early teens? + My life is completely normal, yet I feel empty inside. I feel as if I already know why I'm alive: to reproduce and die."
240,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]","Can anxiety make me think I heard something about me? + When I'm around people, I sometimes think someone has made a comment to me or asked me to do something. I will be focusing on something else and then randomly think I hear something about me. I never know if it was actually said."
241,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","My wife has a diminished libido, and is faking orgasms and denying it. What do I do? + My wife and I are newly married, about 2 months. We've had some issues surrounding sex, particularly her lack of libido. She's on an anxiety medication, of which diminished libido is a side effect, but I think our issue is also partly one of a lack of intimacy/romance centered around my hectic schedule. Our sex life has suffered as a result.Tonight she made a genuine effort to let me know she wanted sex, which is a big deal. Once things started, she had the most obviously fake orgasm I've ever encountered. I was honest with her about why, and told her that the most important thing to me in sex was knowing that she was legitimately enjoying it. She responded angrily with a complete denial of the faking. I don't know how to broach this subject and have an honest conversation. I think she will continue to lie to me about faking it which will cause our sex life to spiral further. Please help."
242,"[0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0]","My apartment manager won't let me keep an emotional support dog + I have been diagnosed with general anxiety and depression by my family doctor. They wrote a prescription for me to have an emotional support dog, I have the paper work, and I gave it to my apartment manager. They said I can't keep the ESD because I'm not disabled. What do you suggest I do?"
243,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","I'm scared to tell my family that I'm bisexual + My parents seem okay with other sexualities, but normally they only talk about being gay. When they do talk about bisexuality, they say things like “they'll do anything” or things that make me very uncomfortable because I am bisexual. I don't know if I am ready to come out to them."
